"ORPHA:58", "Alexander disease"
"ORPHA:404571", "Dysostosis of genetic origin with limb anomaly as a major feature"
"ORPHA:404568", "Dysostosis of genetic origin"
"ORPHA:404560", "Familial atypical multiple mole melanoma syndrome"
"ORPHA:404553", "Vasculitis due to ADA2 deficiency"
"ORPHA:404546", "DITRA"
"ORPHA:404538", "X-linked distal hereditary motor neuropathy"
"ORPHA:404521", "Spinal muscular atrophy with respiratory distress type 2"
"ORPHA:404514", "Acquired cystic disease-associated renal cell carcinoma"
"ORPHA:404511", "Clear cell papillary renal cell carcinoma"
"ORPHA:404507", "Chondromyxoid fibroma"
"ORPHA:404499", "Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to RUBCN deficiency"
"ORPHA:404493", "Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency"
"ORPHA:404481", "Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome"
"ORPHA:404476", "Global developmental delay-lung cysts-overgrowth-Wilms tumor syndrome"
"ORPHA:411527", "Central retinal vein occlusion"
"ORPHA:411536", "Mild phosphoribosylpyrophosphate synthetase superactivity"
"ORPHA:411543", "Severe phosphoribosylpyrophosphate synthetase superactivity"
"ORPHA:411590", "Wolfram-like syndrome"
"ORPHA:411593", "Insulin autoimmune syndrome"
"ORPHA:411602", "Hereditary late-onset Parkinson disease"
"ORPHA:411629", "Nephropathic infantile cystinosis"
"ORPHA:411493", "Pontocerebellar hypoplasia type 10"
"ORPHA:411501", "Williams-Campbell syndrome"
"ORPHA:411511", "Angelman syndrome due to a point mutation"
"ORPHA:411515", "Angelman syndrome due to imprinting defect in 15q11-q13"
"ORPHA:411777", "Generalized eruptive keratoacanthoma"
"ORPHA:411712", "Maternal riboflavin deficiency"
"ORPHA:411788", "Familial isolated trichomegaly"
"ORPHA:411986", "Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome"
"ORPHA:412035", "13q12.3 microdeletion syndrome"
"ORPHA:412022", "Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome"
"ORPHA:411641", "Ocular cystinosis"
"ORPHA:411634", "Juvenile nephropathic cystinosis"
"ORPHA:411696", "Proton-pump inhibitor-responsive esophageal eosinophilia"
"ORPHA:411709", "Renal agenesis"
"ORPHA:411703", "Pulmonary non-tuberculous mycobacterial infection"
"ORPHA:376724", "Generalized isolated dystonia"
"ORPHA:371445", "Genetic syndromic esophageal malformation"
"ORPHA:371861", "Genetic hyperaldosteronism"
"ORPHA:371235", "Congenital disorder of glycosylation with developmental anomaly"
"ORPHA:371207", "Congenital disorder of glycosylation with nephropathy as a major feature"
"ORPHA:371200", "Congenital disorder of glycosylation with skin involvement"
"ORPHA:371212", "Congenital disorder of glycosylation with deafness as a major feature"
"ORPHA:371436", "Genetic neurovascular malformation"
"ORPHA:371433", "Genetic periodic paralysis"
"ORPHA:371442", "Sphingolipidosis with epilepsy"
"ORPHA:371439", "OBSOLETE: Genetic cerebrovascular dementia"
"ORPHA:371428", "Multicentric osteolysis-nodulosis-arthropathy spectrum"
"ORPHA:371364", "Hypotonia-speech impairment-severe cognitive delay syndrome"
"ORPHA:391711", "Persistent combined dystonia"
"ORPHA:391673", "Necrotizing enterocolitis"
"ORPHA:391677", "Short stature-optic atrophy-Pelger-Huët anomaly syndrome"
"ORPHA:391723", "Mucinous adenocarcinoma of the appendix"
"ORPHA:391799", "Rare genetic dystonia"
"ORPHA:391479", "OBSOLETE: Syndromic frontonasal dysplasia"
"ORPHA:391474", "Frontorhiny"
"ORPHA:391504", "Transient neonatal myasthenia gravis"
"ORPHA:391497", "Juvenile myasthenia gravis"
"ORPHA:391490", "Adult-onset myasthenia gravis"
"ORPHA:391487", "Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome"
"ORPHA:391646", "Feingold syndrome type 2"
"ORPHA:391641", "Feingold syndrome type 1"
"ORPHA:391665", "Homozygous familial hypercholesterolemia"
"ORPHA:391658", "OBSOLETE: Cowpox infection"
"ORPHA:391655", "Off-periods in Parkinson disease not responding to oral treatment"
"ORPHA:391651", "Glomus tumor"
"ORPHA:391343", "Fatal post-viral neurodegenerative disorder"
"ORPHA:391348", "Growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome"
"ORPHA:391351", "SURF1-related Charcot-Marie-Tooth disease type 4"
"ORPHA:391366", "Growth retardation-mild developmental delay-chronic hepatitis syndrome"
"ORPHA:391372", "Intellectual disability-severe speech delay-mild dysmorphism syndrome"
"ORPHA:391376", "Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome"
"ORPHA:391381", "Disorder of asparagine metabolism"
"ORPHA:391384", "Familial episodic pain syndrome"
"ORPHA:391389", "Familial episodic pain syndrome with predominantly upper body involvement"
"ORPHA:391392", "Familial episodic pain syndrome with predominantly lower limb involvement"
"ORPHA:391397", "Hereditary sensory and autonomic neuropathy type 7"
"ORPHA:391408", "Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome"
"ORPHA:391411", "Atypical juvenile parkinsonism"
"ORPHA:391417", "HSD10 disease"
"ORPHA:391428", "HSD10 disease, infantile type"
"ORPHA:445110", "Limb-girdle muscular dystrophy due to POMK deficiency"
"ORPHA:445062", "Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome"
"ORPHA:445038", "3-methylglutaconic aciduria type 7"
"ORPHA:445018", "Combined immunodeficiency due to LRBA deficiency"
"ORPHA:444941", "Caudal regression-sirenomelia spectrum"
"ORPHA:444916", "Pseudohypoaldosteronism"
"ORPHA:447731", "NIK deficiency"
"ORPHA:447737", "DOCK2 deficiency"
"ORPHA:397941", "MAN1B1-CDG"
"ORPHA:397937", "Polyglucosan body myopathy type 1"
"ORPHA:397933", "Severe intellectual disability-progressive postnatal microcephaly-midline stereotypic hand movements syndrome"
"ORPHA:397927", "Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome"
"ORPHA:397922", "Ferro-cerebro-cutaneous syndrome"
"ORPHA:397787", "Severe combined immunodeficiency due to IKK2 deficiency"
"ORPHA:397802", "T+ B+ severe combined immunodeficiency"
"ORPHA:397755", "Periodic paralysis with transient compartment-like syndrome"
"ORPHA:397758", "Retinal dystrophy with inner retinal dysfunction and ganglion cell anomalies"
"ORPHA:397744", "Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome"
"ORPHA:397750", "Periodic paralysis with later-onset distal motor neuropathy"
"ORPHA:397725", "COASY protein-associated neurodegeneration"
"ORPHA:397735", "Autosomal dominant Charcot-Marie-Tooth disease type 2U"
"ORPHA:397709", "Intellectual disability-coarse face-macrocephaly-cerebellar hypotrophy syndrome"
"ORPHA:397715", "Joubert syndrome with Jeune asphyxiating thoracic dystrophy"
"ORPHA:397692", "Hereditary isolated aplastic anemia"
"ORPHA:397695", "3q27.3 microdeletion syndrome"
"ORPHA:397623", "Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome"
"ORPHA:397685", "Familial hyperprolactinemia"
"ORPHA:397615", "Obesity due to CEP19 deficiency"
"ORPHA:397618", "Foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome"
"ORPHA:397596", "Activated PI3K-delta syndrome"
"ORPHA:397593", "Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency"
"ORPHA:397612", "Macrocephaly-developmental delay syndrome"
"ORPHA:397606", "PrP systemic amyloidosis"
"ORPHA:397590", "Silver-Russell syndrome due to a point mutation"
"ORPHA:397587", "Deep dermatophytosis"
"ORPHA:394532", "Multiple acyl-CoA dehydrogenase deficiency, mild type"
"ORPHA:394529", "Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type"
"ORPHA:399839", "Rare female infertility due to a congenital hypogonadotropic hypogonadism"
"ORPHA:399831", "Rare female infertility due to hypothalamic-pituitary-gonadal axis disorder"
"ORPHA:399824", "Rare disorder with obstructive azoospermia"
"ORPHA:399813", "Male infertility due to sperm motility disorder"
"ORPHA:399853", "Rare female infertility due to an anomaly of ovarian function"
"ORPHA:399849", "Rare female infertility due to an adrenal disorder"
"ORPHA:399846", "Rare disorder with female infertility due to a congenital hypogonadotropic hypogonadism"
"ORPHA:399771", "Male infertility due to sperm disorder"
"ORPHA:399764", "Male infertility due to gonadal dysgenesis or sperm disorder"
"ORPHA:399685", "Rare male infertility due to testicular endocrine disorder"
"ORPHA:399584", "Rare male infertility due to adrenal disorder"
"ORPHA:399808", "Male infertility with teratozoospermia due to single gene mutation"
"ORPHA:399805", "Male infertility with azoospermia or oligozoospermia due to single gene mutation"
"ORPHA:399786", "Male infertility with spermatogenesis disorder due to single gene mutation"
"ORPHA:399775", "Male infertility with spermatogenesis disorder"
"ORPHA:399329", "Epiphysiolysis of the hip"
"ORPHA:399391", "Osteochondrosis of genetic origin"
"ORPHA:399572", "Rare male infertility due to hypothalamic-pituitary-gonadal axis disorder"
"ORPHA:399380", "Osteonecrosis of genetic origin"
"ORPHA:399388", "Avascular necrosis of genetic origin"
"ORPHA:399180", "Secondary non-traumatic avascular necrosis"
"ORPHA:399185", "Rare hereditary disease with avascular necrosis"
"ORPHA:399169", "Secondary avascular necrosis"
"ORPHA:399175", "Traumatic avascular necrosis"
"ORPHA:399307", "Idiopathic avascular necrosis"
"ORPHA:399319", "Osteochondrosis"
"ORPHA:399293", "Osteonecrosis of the jaw"
"ORPHA:399302", "Primary avascular necrosis"
"ORPHA:399058", "Alpha-B crystallin-related late-onset myopathy"
"ORPHA:398987", "Malignant teratoma of ovary"
"ORPHA:399086", "Finnish upper limb-onset distal myopathy"
"ORPHA:399081", "KLHL9-related early-onset distal myopathy"
"ORPHA:399103", "Distal nebulin myopathy"
"ORPHA:399096", "Distal anoctaminopathy"
"ORPHA:399164", "Avascular necrosis"
"ORPHA:399158", "Osteonecrosis"
"ORPHA:398934", "Malignant epithelial tumor of ovary"
"ORPHA:398961", "Mucinous adenocarcinoma of ovary"
"ORPHA:398940", "Malignant non-epithelial tumor of ovary"
"ORPHA:398980", "Primary peritoneal serous/papillary carcinoma"
"ORPHA:398971", "Clear cell adenocarcinoma of the ovary"
"ORPHA:398124", "Neonatal lupus erythematosus"
"ORPHA:398127", "Neonatal scleroderma"
"ORPHA:398147", "Persistent idiopathic facial pain"
"ORPHA:398156", "Oculoauriculofrontonasal syndrome"
"ORPHA:398166", "Focal facial dermal dysplasia"
"ORPHA:398173", "Focal facial dermal dysplasia type II"
"ORPHA:398189", "Focal facial dermal dysplasia type IV"
"ORPHA:398069", "MAGEL2-related Prader-Willi-like syndrome"
"ORPHA:398073", "Prader-Willi-like syndrome"
"ORPHA:398079", "SIM1-related Prader-Willi-like syndrome"
"ORPHA:398088", "Hereditary cryohydrocytosis with normal stomatin"
"ORPHA:398091", "Secondary neonatal autoimmune disease"
"ORPHA:398097", "Neonatal antiphospholipid syndrome"
"ORPHA:398109", "Neonatal autoimmune hemolytic anemia"
"ORPHA:398117", "Neonatal dermatomyositis"
"ORPHA:435564", "Genetic precocious puberty in female"
"ORPHA:435561", "Precocious puberty in female"
"ORPHA:435554", "Genetic precocious puberty"
"ORPHA:435609", "Genetic larynx anomaly"
"ORPHA:435606", "Genetic nose and cavum anomaly"
"ORPHA:435603", "Genetic otorhinolaryngological malformation"
"ORPHA:435628", "Keppen-Lubinsky syndrome"
"ORPHA:435623", "OBSOLETE: Adactyly of foot"
"ORPHA:435612", "Genetic tracheal anomaly"
"ORPHA:435743", "Congenital urachal anomaly"
"ORPHA:435660", "LIPE-related familial partial lipodystrophy"
"ORPHA:435651", "CIDEC-related familial partial lipodystrophy"
"ORPHA:435638", "3p25.3 microdeletion syndrome"
"ORPHA:435804", "Short stature-advanced bone age-early-onset osteoarthritis syndrome"
"ORPHA:435808", "OBSOLETE: ACAN-related skeletal dysplasia"
"ORPHA:435845", "Lethal neonatal spasticity-epileptic encephalopathy syndrome"
"ORPHA:435930", "Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome"
"ORPHA:435811", "Rare disease with disability"
"ORPHA:435819", "Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation"
"ORPHA:435953", "Progeroid features-hepatocellular carcinoma predisposition syndrome"
"ORPHA:435988", "Chronic atrial and intestinal dysrhythmia syndrome"
"ORPHA:435934", "COG2-CDG"
"ORPHA:435938", "X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome"
"ORPHA:436141", "Severe intellectual disability-hypotonia-strabismus-coarse face-planovalgus syndrome"
"ORPHA:436144", "Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome"
"ORPHA:435998", "Autosomal recessive intermediate Charcot-Marie-Tooth disease type D"
"ORPHA:436003", "Contractures-developmental delay-Pierre Robin syndrome"
"ORPHA:436159", "Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency"
"ORPHA:436151", "Intellectual disability-expressive aphasia-facial dysmorphism syndrome"
"ORPHA:436169", "Thrombomodulin-related bleeding disorder"
"ORPHA:436166", "Periodic fever-infantile enterocolitis-autoinflammatory syndrome"
"ORPHA:436182", "Microcephalic primordial dwarfism-insulin resistance syndrome"
"ORPHA:436174", "Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome"
"ORPHA:436245", "Retinitis pigmentosa-juvenile cataract-short stature-intellectual disability syndrome"
"ORPHA:436242", "Familial atrial tachyarrhythmia-infra-Hisian cardiac conduction disease"
"ORPHA:436271", "Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy"
"ORPHA:436252", "Combined immunodeficiency-enteropathy spectrum"
"ORPHA:436274", "Pseudoxanthoma elasticum-like skin manifestations with retinitis pigmentosa"
"ORPHA:437552", "Autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity"
"ORPHA:437572", "MYH7-related late-onset scapuloperoneal muscular dystrophy"
"ORPHA:438178", "Fatty acyl-CoA reductase 1 deficiency"
"ORPHA:438159", "STAT3-related early-onset multisystem autoimmune disease"
"ORPHA:438134", "PCNA-related progressive neurodegenerative photosensitivity syndrome"
"ORPHA:438117", "Steel syndrome"
"ORPHA:438114", "RARS-related autosomal recessive hypomyelinating leukodystrophy"
"ORPHA:438075", "Ketoacidosis due to monocarboxylate transporter-1 deficiency"
"ORPHA:438072", "Disorder of keton body transport"
"ORPHA:438279", "Human infection by orthopoxvirus"
"ORPHA:438274", "GCGR-related hyperglucagonemia"
"ORPHA:438266", "Progressive encephalomyelitis with rigidity and myoclonus"
"ORPHA:438216", "PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation"
"ORPHA:438213", "PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome"
"ORPHA:438207", "Severe autosomal recessive macrothrombocytopenia"
"ORPHA:439224", "ALECT2 amyloidosis"
"ORPHA:439232", "AApoAIV amyloidosis"
"ORPHA:439212", "Early-onset myopathy-areflexia-respiratory distress-dysphagia syndrome"
"ORPHA:439218", "KCNQ2-related epileptic encephalopathy"
"ORPHA:439196", "Zinc-responsive necrolytic acral erythema"
"ORPHA:439202", "Non-recovering obstetric brachial plexus lesion"
"ORPHA:439167", "Placental insufficiency"
"ORPHA:439175", "Pediatric arterial ischemic stroke"
"ORPHA:439762", "Systemic polyarteritis nodosa"
"ORPHA:439822", "PDE4D haploinsufficiency syndrome"
"ORPHA:439746", "Secondary polyarteritis nodosa"
"ORPHA:439755", "Single-organ polyarteritis nodosa"
"ORPHA:439729", "Cutaneous polyarteritis nodosa"
"ORPHA:439737", "Primary polyarteritis nodosa"
"ORPHA:439246", "ABeta2M amyloidosis"
"ORPHA:439254", "ITM2B amyloidosis"
"ORPHA:440221", "Congenital oculomotor nerve palsy"
"ORPHA:440233", "Congenital abducens nerve palsy"
"ORPHA:439854", "Fatal congenital hypertrophic cardiomyopathy due to glycogen storage disease"
"ORPHA:439849", "Autosomal recessive severe congenital neutropenia"
"ORPHA:439897", "Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome"
"ORPHA:439881", "Plastic bronchitis"
"ORPHA:440402", "Interstitial lung disease due to ABCA3 deficiency"
"ORPHA:440354", "Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome"
"ORPHA:440392", "Interstitial lung disease due to SP-C deficiency"
"ORPHA:440368", "Necrotizing soft tissue infection"
"ORPHA:440713", "Isolated sedoheptulokinase deficiency"
"ORPHA:440724", "Extensive peripapillary myelinated nerve fibers"
"ORPHA:440727", "Combined hamartoma of the retina and retinal pigment epithelium"
"ORPHA:440731", "L-ferritin deficiency"
"ORPHA:440427", "Severe early-onset pulmonary alveolar proteinosis due to MARS deficiency"
"ORPHA:440437", "Familial colorectal cancer Type X"
"ORPHA:440701", "Disorders of pentose/polyol metabolism"
"ORPHA:440706", "Ribose-5-P isomerase deficiency"
"ORPHA:441434", "Syndromic hereditary optic neuropathy"
"ORPHA:441447", "Early-onset posterior subcapsular cataract"
"ORPHA:441452", "Early-onset lamellar cataract"
"ORPHA:440987", "Isolated agenesis of gallbladder"
"ORPHA:441344", "OBSOLETE: Autosomal recessive optic atrophy, OPA9 type"
"ORPHA:443057", "Sporadic porphyria cutanea tarda"
"ORPHA:443062", "Familial porphyria cutanea tarda"
"ORPHA:443079", "Central serous chorioretinopathy"
"ORPHA:443084", "Baroreflex failure"
"ORPHA:443070", "Hemicrania continua"
"ORPHA:443073", "Charcot-Marie-Tooth disease type 2S"
"ORPHA:442835", "Undetermined early-onset epileptic encephalopathy"
"ORPHA:442582", "AH amyloidosis"
"ORPHA:3276", "Disorder of plasmalogens biosynthesis"
"ORPHA:443197", "X-linked erythropoietic protoporphyria"
"ORPHA:3008", "Pyruvate carboxylase deficiency"
"ORPHA:443192", "Classic stiff person syndrome"
"ORPHA:595", "Centronuclear myopathy"
"ORPHA:443180", "Spontaneous intracranial hypotension"
"ORPHA:443173", "Postpartum psychosis"
"ORPHA:443291", "HIV-associated cancer"
"ORPHA:298", "Mitochondrial neurogastrointestinal encephalomyopathy"
"ORPHA:396", "Chronic hiccup"
"ORPHA:443287", "ACTH-independent Cushing syndrome due to rare cortisol-producing adrenal tumor"
"ORPHA:443236", "Postural orthostatic tachycardia syndrome due to NET deficiency"
"ORPHA:552", "MODY"
"ORPHA:854", "Primitive portal vein thrombosis"
"ORPHA:443227", "Paratyphoid fever"
"ORPHA:443098", "Hyperostosis cranialis interna"
"ORPHA:443095", "Hyperinsulinemic hypoglycaemia"
"ORPHA:443090", "46,XY disorder of sexual development due to dihydrotestosterone backdoor pathway biosynthesis defect"
"ORPHA:443087", "46,XY disorder of sex development due to testicular 17,20-desmolase deficiency"
"ORPHA:443167", "NUT midline carcinoma"
"ORPHA:130", "Brugada syndrome"
"ORPHA:277", "Severe combined immunodeficiency due to adenosine deaminase deficiency"
"ORPHA:443162", "NDE1-related microhydranencephaly"
"ORPHA:443159", "Lymphoplasmacytic lymphoma without IgM production"
"ORPHA:443101", "Hypothalamic adipsic hypernatraemia syndrome"
"ORPHA:443325", "OBSOLETE: HIV-related Non-Hodgkin lymphoma"
"ORPHA:443328", "OBSOLETE: HIV-related Kaposi sarcoma"
"ORPHA:443804", "Focal stiff limb syndrome"
"ORPHA:443811", "PGM3-CDG"
"ORPHA:443909", "Hereditary nonpolyposis colon cancer"
"ORPHA:443950", "DNAJB2-related Charcot-Marie-Tooth disease type 2"
"ORPHA:443988", "Ventriculomegaly-cystic kidney disease"
"ORPHA:443301", "OBSOLETE: HIV-related lung cancer"
"ORPHA:443304", "OBSOLETE: HIV-related oropharyngeal cancer"
"ORPHA:443307", "OBSOLETE: HIV-related anal cancer"
"ORPHA:443310", "OBSOLETE: HIV-related hepatocellular carcinoma"
"ORPHA:443313", "OBSOLETE: HIV-related penile cancer"
"ORPHA:443316", "OBSOLETE: HIV-related Hodgkin lymphoma"
"ORPHA:443319", "OBSOLETE: HIV-related vulvovaginal cancer"
"ORPHA:443322", "OBSOLETE: HIV-related cervical cancer"
"ORPHA:444092", "Autoimmune interstitial lung disease-arthritis syndrome"
"ORPHA:444099", "Autosomal dominant spastic paraplegia type 73"
"ORPHA:444116", "Hereditary amyloidosis"
"ORPHA:444138", "Peeling skin-leukonychia-acral punctate keratoses-cheilitis-knuckle pads syndrome"
"ORPHA:444002", "11q22.2q22.3 microdeletion syndrome"
"ORPHA:443995", "Mandibulofacial dysostosis with alopecia"
"ORPHA:444048", "46,XX ovarian dysgenesis-short stature syndrome"
"ORPHA:444013", "Combined oxidative phosphorylation defect type 23"
"ORPHA:444069", "Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome"
"ORPHA:444051", "20q11.2 microdeletion syndrome"
"ORPHA:444077", "Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome"
"ORPHA:444072", "Cerebellar-facial-dental syndrome"
"ORPHA:444463", "Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome"
"ORPHA:444490", "Familial chylomicronemia syndrome"
"ORPHA:444316", "Idiopathic phalangeal acro-osteolysis"
"ORPHA:444458", "Combined oxidative phosphorylation defect type 24"
"ORPHA:98300", "Idiopathic interstitial pneumonia"
"ORPHA:98325", "OBSOLETE: Male infertility with impaired virilization due to a testicular disorder associated with thyrotoxicosis"
"ORPHA:98326", "OBSOLETE: Male infertility with impaired virilization due to a testicular disorder associated with an immune disorder"
"ORPHA:98323", "OBSOLETE: Male infertility with impaired virilization due to a testicular disorder associated with a hepatic disease"
"ORPHA:98324", "OBSOLETE: Male infertility with impaired virilization due to a testicular disorder associated with a chronic illness"
"ORPHA:98313", "Male infertility due to gonadal dysgenesis"
"ORPHA:98314", "OBSOLETE: Male infertility with impaired virilization due to an acquired testicular defect"
"ORPHA:98311", "OBSOLETE: Male infertility with impaired virilization due to a hypothalamic and pituitary disorder associated with hyperprolactinemia"
"ORPHA:98312", "OBSOLETE: Male infertility with impaired virilization due to a testicular disorder"
"ORPHA:98317", "OBSOLETE: Male infertility with impaired virilization due to an acquired testicular defect drug-related"
"ORPHA:98318", "OBSOLETE: Male infertility with impaired virilization due to an acquired testicular defect associated with an environmental toxin"
"ORPHA:98315", "OBSOLETE: Male infertility with impaired virilization due to a viral orchitis"
"ORPHA:98316", "OBSOLETE: Male infertility with impaired virilization due to an acquired testicular defect associated with trauma"
"ORPHA:98396", "Constitutional megaloblastic anemia due to vitamin B12 metabolism disorder"
"ORPHA:98421", "Red cell aplasia"
"ORPHA:98415", "Vitamin B12- and folate-independent constitutional megaloblastic anemia"
"ORPHA:98408", "Constitutional megaloblastic anemia due to folate metabolism disorder"
"ORPHA:98374", "Hemolytic anemia due to an erythrocyte nucleotide metabolism disorder"
"ORPHA:98372", "Hemolytic anemia due to a disorder of glycolytic enzymes"
"ORPHA:447740", "Susceptibility to localized juvenile periodontitis"
"ORPHA:445197", "Secondary vasculitis"
"ORPHA:447881", "Idiopathic dropped head syndrome"
"ORPHA:447877", "Polymerase proofreading-related adenomatous polyposis"
"ORPHA:447896", "Tremor-ataxia-central hypomyelination syndrome"
"ORPHA:447893", "Hypomyelination-cerebellar atrophy-hypoplasia of the corpus callosum syndrome"
"ORPHA:447792", "Hemochromatosis type 5"
"ORPHA:447788", "Cerebral visual impairment"
"ORPHA:447874", "Biological anomaly without phenotypic characterization"
"ORPHA:447795", "Lipoyl transferase 2 deficiency"
"ORPHA:447774", "Secondary sclerosing cholangitis"
"ORPHA:447771", "Sclerosing cholangitis"
"ORPHA:447784", "Mitochondrial pyruvate carrier deficiency"
"ORPHA:447777", "Keratocystic odontogenic tumor"
"ORPHA:447757", "Autosomal dominant spastic paraplegia type 9B"
"ORPHA:447753", "Autosomal dominant spastic paraplegia type 9A"
"ORPHA:447764", "IgG4-related sclerosing cholangitis"
"ORPHA:447760", "Autosomal recessive spastic paraplegia type 9B"
"ORPHA:413667", "Antidepressant or antipsychotic toxicity or dose selection"
"ORPHA:413674", "Vitamin K antagonists toxicity or dose selection"
"ORPHA:413681", "Oral antidiabetic drugs toxicity or dose selection"
"ORPHA:413684", "Resistance to vitamin K antagonists"
"ORPHA:413687", "Azathioprine or 6-mercatopurine toxicity or dose selection"
"ORPHA:413690", "OBSOLETE: Methotrexate toxicity or dose selection"
"ORPHA:413693", "Curariform drugs toxicity"
"ORPHA:413696", "Statin toxicity"
"ORPHA:412066", "PRKAR1B-related neurodegenerative dementia with intermediate filaments"
"ORPHA:412057", "Autosomal recessive cerebellar ataxia due to STUB1 deficiency"
"ORPHA:412181", "Epidermolysis bullosa simplex due to BP230 deficiency"
"ORPHA:412069", "AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome"
"ORPHA:412189", "Epidermolysis bullosa simplex due to exophilin 5 deficiency"
"ORPHA:412217", "Dystonia-aphonia syndrome"
"ORPHA:412206", "Primary failure of tooth eruption"
"ORPHA:412220", "OBSOLETE: Ramsay Hunt syndrome type II"
"ORPHA:418959", "Squamous cell carcinoma of the stomach"
"ORPHA:418945", "Carcinoma of esophagus, salivary gland type"
"ORPHA:418951", "Undifferentiated carcinoma of esophagus"
"ORPHA:420259", "Secondary pulmonary alveolar proteinosis"
"ORPHA:420179", "Malan overgrowth syndrome"
"ORPHA:414726", "Genetic facial cleft"
"ORPHA:414750", "Phenytoin or carbamazepine toxicity"
"ORPHA:415675", "OBSOLETE: Small pox"
"ORPHA:415286", "Bilirubin encephalopathy"
"ORPHA:420755", "Rare genetic odontal or periodontal disorder"
"ORPHA:420789", "Autoimmune encephalopathy with parasomnia and obstructive sleep apnea"
"ORPHA:420794", "Cono-spondylar dysplasia"
"ORPHA:420702", "Autosomal recessive severe congenital neutropenia due to CSF3R deficiency"
"ORPHA:420728", "Combined oxidative phosphorylation defect type 20"
"ORPHA:420733", "Combined oxidative phosphorylation defect type 21"
"ORPHA:420741", "RIDDLE syndrome"
"ORPHA:420492", "Adult-onset cervical dystonia, DYT23 type"
"ORPHA:420485", "Cranio-cervical dystonia with laryngeal and upper-limb involvement"
"ORPHA:420556", "Visual snow syndrome"
"ORPHA:420402", "Semicircular canal dehiscence syndrome"
"ORPHA:420429", "Glycogen storage disease due to acid maltase deficiency, late-onset"
"ORPHA:420611", "Transient myeloproliferative syndrome"
"ORPHA:420584", "Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome"
"ORPHA:420699", "Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency"
"ORPHA:420686", "Woolly hair-palmoplantar keratoderma syndrome"
"ORPHA:420561", "Temple-Baraitser syndrome"
"ORPHA:420573", "Severe combined immunodeficiency due to CTPS1 deficiency"
"ORPHA:420566", "Bleeding disorder due to CalDAG-GEFI deficiency"
"ORPHA:423461", "Mucolipidosis type III alpha/beta"
"ORPHA:423470", "Mucolipidosis type III gamma"
"ORPHA:423454", "Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome"
"ORPHA:423384", "Autosomal recessive severe congenital neutropenia due to JAGN1 deficiency"
"ORPHA:423296", "Spinocerebellar ataxia type 38"
"ORPHA:423306", "Microcephaly-short stature-intellectual disability-facial dysmorphism syndrome"
"ORPHA:423717", "Cutaneous larva migrans"
"ORPHA:423771", "Rare carcinoma of stomach"
"ORPHA:423693", "Double outlet right ventricle with subaortic or doubly committed ventricular septal defect"
"ORPHA:423712", "Double outlet right ventricle with atrioventricular septal defect, pulmonary stenosis, heterotaxy"
"ORPHA:423662", "Rare autonomic nervous system disorder"
"ORPHA:423479", "X-linked intellectual disability-limb spasticity-retinal dystrophy-diabetes insipidus syndrome"
"ORPHA:423655", "ARX-related encephalopathy-brain malformation spectrum"
"ORPHA:422526", "Hereditary clear cell renal cell carcinoma"
